feature	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	241008_M274_01_HILIC_pos_B1.mzXML	241008_M274_01_HILIC_pos_B10.mzXML	241008_M274_01_HILIC_pos_B11.mzXML	241008_M274_01_HILIC_pos_B12.mzXML	241008_M274_01_HILIC_pos_B13.mzXML	241008_M274_01_HILIC_pos_B14.mzXML	241008_M274_01_HILIC_pos_B15.mzXML	241008_M274_01_HILIC_pos_B16.mzXML	241008_M274_01_HILIC_pos_B17.mzXML	241008_M274_01_HILIC_pos_B18.mzXML	241008_M274_01_HILIC_pos_B19.mzXML	241008_M274_01_HILIC_pos_B2.mzXML	241008_M274_01_HILIC_pos_B20.mzXML	241008_M274_01_HILIC_pos_B21.mzXML	241008_M274_01_HILIC_pos_B22.mzXML	241008_M274_01_HILIC_pos_B23.mzXML	241008_M274_01_HILIC_pos_B3.mzXML	241008_M274_01_HILIC_pos_B4.mzXML	241008_M274_01_HILIC_pos_B5.mzXML	241008_M274_01_HILIC_pos_B6.mzXML	241008_M274_01_HILIC_pos_B7.mzXML	241008_M274_01_HILIC_pos_B8.mzXML	241008_M274_01_HILIC_pos_B9.mzXML
FT0011	84.0446921504932	84.0446921504932	84.0446921504932	382.53257132893	382.53257132893	382.53257132893	1	2.50566074527736	2.24352626175689	2.52013095273937	2.04209810543404	1.75217880372659	1.93676815265678	2.15281640287536	NA	2.10933810805597	2.56015096126965	1.22943878981897	2.10655131696339	2.43637575632309	2.17760592580691	2.72931829783636	2.33944350304777	2.08021187015919	2.23088608527989	2.02960794047758	2.45261044566864	1.92188962188753	2.45248196216162	1.95041470139393
FT0012	84.045373645787	84.045373645787	84.045373645787	426.010741252121	426.010741252121	426.010741252121	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FT0013	84.0813449485601	84.0813449485601	84.0813449485601	570.662155731502	570.662155731502	570.662155731502	1	2.06458957986538	1.93854374614059	1.85845713561027	2.20590301897063	1.55648528194304	1.82021512185213	1.98765754144914	1.87741925411231	1.82205431106131	1.87956192748286	2.00593866085173	1.86413095950414	2.15068325606785	2.14841269247349	2.24492727131067	2.25944170426159	2.11327234760337	2.23046161893045	2.23069293532709	1.73400041410019	2.07823671402214	2.03463988907539	1.84219613081068
FT0014	84.0811390998304	84.0811390998304	84.0811390998304	512.162365815197	512.162365815197	512.162365815197	1	2.67353502157961	2.66637627736768	2.52525998472723	2.74819867567473	2.69351254289881	2.69645005980417	2.68116695056313	2.10577910634757	2.15050881451058	2.74768669046288	2.79681633444317	2.45826601007134	2.64137443727137	2.63664775706107	2.78041701394352	2.36231839529094	2.73760173752628	2.51567583875887	2.64057493806794	2.68096427693775	2.42229564768381	2.70901517266043	2.44122390694455
FT0015	85.0760724701139	85.0759736793507	85.0761712608771	174.582204703013	173.498318708647	175.666090697379	2	2.29467556412004	2.19384598868877	2.05858440845582	2.43831618782166	2.08409180478148	1.73317833744457	2.23283501802903	2.33635006907077	2.26201971781204	2.23225776607408	1.59780345089991	2.09061223920909	2.19442402813044	2.27520755324871	2.46258394723305	2.16955438012396	2.41337146779657	2.04566368344323	2.3935440767258	2.29146605725121	1.93647327501917	2.27136009628423	2.31217160085328
FT0016	85.0836553962116	85.0836553962116	85.0836553962116	570.662155731502	570.662155731502	570.662155731502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FT0017	86.0967308497494	86.0962778502651	86.0971642207617	355.465004479711	353.090985221975	369.023821625003	32	4.39714180339787	4.43444617931977	4.43579645320479	4.52017515824981	4.33189678628027	4.42668742852561	4.43034256255543	4.39289822854151	4.35420969415082	4.34556145829517	4.56857832598824	4.36324153248673	4.40120211159462	4.40168004617102	4.38319511613505	4.42573170212829	4.36988027960945	4.3538020521592	4.35873161441667	4.40040665553043	4.44102533001351	4.30553488146321	4.37614178737426
FT0018	87.0996919218453	87.0996919218453	87.0996919218453	356.561299332592	356.561299332592	356.561299332592	1	2.89084131724219	2.8915013585457	3.03048876251313	2.89978923210804	2.8856937536789	2.90683254261347	2.8105746317766	2.96033116039884	2.89873971522643	2.9406908081724	2.7700927608514	2.93012504434612	2.78030794393769	2.9464263929604	2.7113826312365	3.00208679887612	2.82346547100508	2.97953838141379	2.73732406067887	2.97364769890797	2.82649049545069	2.64231992185173	2.82443208763799
FT0019	90.0548612374016	90.0548612374016	90.0548612374016	414.581787040368	414.581787040368	414.581787040368	1	2.65095188633884	3.02133713091821	2.95341270923928	2.63305851416714	2.43260638645673	2.56488398429137	2.22708739289372	2.59459923829593	2.72363754441216	3.02078299782074	2.38141948753104	2.88177182501157	2.74677364177543	2.72388482356226	2.85608285163262	2.85747256849054	3.10593025823061	2.54730816568091	2.63514098137283	3.1104462964136	2.58143395407147	2.6341204505716	2.46704248019337
FT0020	95.0605475082946	95.0605475082946	95.0605475082946	437.559700970958	437.559700970958	437.559700970958	1	NA	NA	0.534538457626255	NA	NA	0.130412809752341	NA	NA	NA	NA	0.866538386843179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FT0021	96.0442666082391	96.0442666082391	96.0442666082391	62.7770452503129	62.7770452503129	62.7770452503129	1	2.36881964215458	2.48388642631888	2.16775178045713	2.56793985214217	2.50169706840289	2.60068353305654	2.29865060867265	2.17727317124156	2.47259647483694	1.43145683445136	2.53151418905647	2.40865285809033	2.19966791666273	1.90116327889693	2.30990064226575	2.39199696413616	2.37319180259851	2.1482969662617	NA	2.33206044433601	2.51698544646181	2.11961674768165	2.34254871025295
FT0022	97.0394400951974	97.0394400951974	97.0394400951974	65.6030060000529	65.6030060000529	65.6030060000529	1	2.44738287409817	1.69028050409391	2.52029806416581	2.35428548249943	2.6941761807318	2.32492977944168	2.58295824569687	2.53095254469373	2.63300257960641	2.36210172675273	2.49507955815167	2.58993994554241	2.50242866882568	2.30558256467391	2.57907273300247	2.15039535912888	2.40579415727278	2.14199308239775	2.54599505947057	2.36995534371904	2.46880889078106	2.1459956829033	2.50746466818869
FT0023	100.075382020218	100.075085827295	100.075484778217	67.3630797260968	67.0062317933833	68.3847866906956	4	3.2244772933622	3.0549586377605	3.08824669776039	3.23557103115428	3.07616967805077	3.10335479976492	3.01745511643777	2.90865755184846	3.08309258390761	3.21963872451212	3.21056385315507	3.22134651035418	3.26585567185472	3.15332616320874	2.98246405576298	2.87834476689533	3.12627702911864	3.24841181633263	3.21089734941152	3.34384355076854	3.13225741826007	3.15205659947888	2.77273369788078
FT0024	102.055267536305	102.055267536305	102.055267536305	426.010741252121	426.010741252121	426.010741252121	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FT0025	103.05419898588	103.05419898588	103.05419898588	351.526762103476	351.526762103476	351.526762103476	1	2.98275299218898	3.18433204594784	3.14297066199007	3.09018203456193	2.79385639966699	2.85573734585942	3.07657338438209	2.89969253304466	3.02326406139964	2.73569663422957	2.95242499684426	3.00624634698428	2.89326078773382	2.84395065817634	2.99365515085225	3.0839471174316	2.67213944540663	3.06527346340287	2.76449377602106	2.55398472050902	3.22488195816244	2.78048023719872	2.9000765105344
FT0026	103.054264023321	103.054264023321	103.054264023321	299.454203768264	299.454203768264	299.454203768264	1	NA	NA	NA	NA	NA	NA	NA	NA	0.462999486609239	NA	NA	NA	0.836056419571481	NA	1.11728689934699	NA	NA	NA	NA	NA	NA	1.10141531359799	NA
FT0027	104.107111504254	104.106439573348	104.10806479515	339.838261112334	327.888191074541	350.426661921651	54	4.39309226394599	4.42182164980405	4.38123711559353	4.38544509955945	4.84375671427918	4.4094495392027	4.39216149886687	4.46636346982882	4.41345351489037	4.50779491646032	4.62852663692746	4.42980584921029	4.47177118892066	4.50593103913568	4.41113630103032	4.37629621539444	4.35631233458135	4.76248533063552	4.40429701806852	4.29840088785506	4.56665109776745	4.45109790372895	4.41904172759026
FT0028	104.106825098673	104.106616598066	104.107116482282	431.122734475018	430.109661072417	436.432496861165	3	3.51681118222338	3.57711415599317	3.5353780481025	3.82251334518275	0.814419511277998	3.62688743473504	3.48909969181714	3.49215778277445	3.65712774678938	3.41203214016942	3.7139375067343	3.57563488382235	3.63926290781592	3.51296297835808	3.32334820718531	3.60646002881118	3.57963363276217	NA	3.77798110517675	3.55545832539906	3.59549336563309	3.59662305521737	3.26927264676174
FT0029	104.070878798499	104.070372603984	104.071354197574	65.476866515935	61.3876547629247	67.9733942702639	12	1.71135082171099	NA	1.22697509357566	2.14401349432996	1.52436444473918	1.53179321596981	NA	0.948471786275165	1.20892308800495	NA	0.840877284401942	1.39080180279854	3.44735725065443	0.569748839090639	1.42578083652776	1.3018762230039	1.89007755213035	NA	NA	1.36569365303316	1.24555142515368	1.61103159766839	NA
FT0030	104.992811497611	104.992323679447	104.99314480201	426.600701860834	424.925687169843	427.902819118717	56	5.29824362359216	5.19565636323737	5.02938921852715	5.35703518099538	5.2145368052831	5.01879134936633	5.05822633842991	5.18006882856844	5.10493645370597	5.12090191055854	5.01772104756209	5.19494225621951	5.25005431055273	5.24595185408482	5.12731324851489	5.22360194278716	5.38132310939367	5.1953596552639	5.28941606907877	5.28828586700686	5.05240312957948	5.2404281208556	5.29535979747033
FT0031	105.110096224898	105.110096224898	105.110096224898	343.033571911494	343.033571911494	343.033571911494	1	2.90461159322076	2.91928667009441	2.99908051057893	2.16750158672441	3.4838580418476	2.92951448653903	2.76234009712055	2.64135028333431	3.02571311407443	2.89587041177275	2.48876706318809	2.68527886529014	2.95017467324254	3.01477136075458	2.81480219184966	2.71979668187865	2.53776331506335	3.48746139853996	2.63272155667884	2.94002794479975	3.29342904582466	3.14266996755935	3.06700852933892
FT0032	105.069922979279	105.069390743845	105.07056111043	292.046803414597	286.008415746258	299.454203768264	6	2.32486038603755	2.18644608575737	2.03231966287035	1.53659855905493	1.31694081566591	2.20381594658609	2.2012991676754	2.24255943299517	2.37694203619386	2.39464347165737	0.882881882197443	1.62425173549333	1.79507396626925	2.07367631654161	2.38203344360319	2.111500097086	2.42518136691133	2.30592672776919	2.01645010265969	2.47219454312357	2.25482006566368	1.92105636508347	2.04355609571701
FT0033	105.110453946574	105.110453946574	105.110453946574	327.888191074541	327.888191074541	327.888191074541	1	1.92053509806237	1.71043325861501	NA	2.66397928581297	2.93590663397502	2.17965237671717	2.32619537927287	NA	NA	NA	3.06887531853389	NA	NA	NA	NA	2.57251256996643	NA	NA	NA	NA	NA	NA	2.53738842251678
FT0034	105.073691178946	105.073691178946	105.073691178946	64.6251186925983	64.6251186925983	64.6251186925983	1	NA	NA	NA	NA	NA	NA	NA	0.212506196722687	NA	0.884016471863954	NA	NA	1.70721756565325	NA	1.28157879253601	NA	NA	NA	NA	NA	NA	1.05530859231799	1.22534938110261
FT0035	108.044059966051	108.044059966051	108.044059966051	79.2424121145343	79.2424121145343	79.2424121145343	1	2.14556518541437	2.60464101874171	2.52423687383543	2.49999813400267	2.51710585607849	2.73217792205396	2.82494414636206	2.57440382173635	2.25036401646555	2.65076099765654	2.53014055530934	2.41913764261461	2.72593798195279	2.584887349729	2.3537151621071	2.58925649040061	2.43827537294961	2.5667295835535	2.74904215312799	2.31902504643763	2.54937184327541	2.13486045272548	2.47855197207911
FT0036	109.07647710743	109.07647710743	109.07647710743	50.2029381081849	50.2029381081849	50.2029381081849	1	2.79968334450054	3.04082255870695	2.74480672436997	2.53468915355808	2.86972585149213	3.12298696648653	2.79705358553159	3.19059053257949	2.90516805978229	2.8214230495064	3.14591141209055	2.84658511005877	2.89868718476088	2.7623935687108	2.51849837995608	3.08763521147643	2.96403944723642	3.19486678587032	3.22155714731779	2.82163210661525	2.77576365695876	2.95390957265418	2.73392976722608
FT0037	110.059698775398	110.059291142372	110.0602408048	62.7770452503129	60.4010516892972	63.9178954663203	25	3.49199941686716	3.62930113157888	3.59092392430647	3.5061185835521	3.63135623560836	3.6545454533989	3.61534185462991	3.38073038679604	3.53733763752632	3.60264598182103	3.70548543546683	3.61711682060754	3.59758250261953	3.57581670344656	3.42087471597126	3.5868798141265	3.49519482131381	3.58089185173141	3.7043057443683	3.6017249355419	3.62432568281255	3.45381580865814	3.60222046771921
FT0038	111.091101305869	111.09089745605	111.09135589827	94.0384517087	90.4335424300181	95.9171406305021	5	3.66862361264717	3.67151595569451	3.41855389226117	2.83977365304878	3.63311931461413	3.39863368787418	3.37520546039227	2.52215910083069	3.47843777528275	3.55888329803805	3.3069635531119	3.54669041780666	3.63544953385294	3.54926113624101	2.77260929683545	3.59299899116902	3.84233252412748	3.44271205164289	3.75329820298183	3.64893749709511	2.62126813057944	2.69960201506708	3.68348803940982
FT0039	111.043955921454	111.043955921454	111.043955921454	203.423325938405	203.423325938405	203.423325938405	1	1.82519264364781	2.21884811969243	1.86253422015715	2.27687500380324	1.95781008132581	2.36022286965999	2.10431862563589	2.08055906427036	2.01167092101148	1.60854612224084	1.76056968701874	1.82738148556431	2.26551716069512	2.38807902241072	2.01792928777117	1.90454444578337	2.38705856022038	2.11504815456813	2.01084181171663	2.50779521132894	2.05453558385769	2.2227921685522	2.20900031036707
FT0040	111.091112063101	111.090669874609	111.091410532766	171.521273499116	149.150944071229	175.692636816139	11	3.01516264794857	2.81869280445785	2.62423434631776	2.8862360568094	2.30459371098931	2.62333955751938	2.43655524833947	2.60698254050995	2.31226824408879	2.71679088670055	2.50549509766966	2.82587292880988	2.69061010538436	2.72501011611825	2.5590450945105	2.61077869531847	2.76291253069307	2.5961127252	2.69645378657734	2.70162249459448	2.27560228329031	2.70078135398706	2.75557111081639
