feature	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	241008_M274_01_HILIC_neg_B1.mzXML	241008_M274_01_HILIC_neg_B10.mzXML	241008_M274_01_HILIC_neg_B11.mzXML	241008_M274_01_HILIC_neg_B12.mzXML	241008_M274_01_HILIC_neg_B13.mzXML	241008_M274_01_HILIC_neg_B14.mzXML	241008_M274_01_HILIC_neg_B15.mzXML	241008_M274_01_HILIC_neg_B16.mzXML	241008_M274_01_HILIC_neg_B17.mzXML	241008_M274_01_HILIC_neg_B18.mzXML	241008_M274_01_HILIC_neg_B19.mzXML	241008_M274_01_HILIC_neg_B2.mzXML	241008_M274_01_HILIC_neg_B20.mzXML	241008_M274_01_HILIC_neg_B21.mzXML	241008_M274_01_HILIC_neg_B22.mzXML	241008_M274_01_HILIC_neg_B23.mzXML	241008_M274_01_HILIC_neg_B3.mzXML	241008_M274_01_HILIC_neg_B4.mzXML	241008_M274_01_HILIC_neg_B5.mzXML	241008_M274_01_HILIC_neg_B6.mzXML	241008_M274_01_HILIC_neg_B7.mzXML	241008_M274_01_HILIC_neg_B8.mzXML	241008_M274_01_HILIC_neg_B9.mzXML	241008_M274_01_HILIC_neg_BHI.ctr..mzXML	241008_M274_01_HILIC_neg_Bifido_01.mzXML	241008_M274_01_HILIC_neg_Bifido_02.mzXML	241008_M274_01_HILIC_neg_HM008.mzXML	241008_M274_01_HILIC_neg_HM013.mzXML	241008_M274_01_HILIC_neg_HM014.mzXML	241008_M274_01_HILIC_neg_HM016.mzXML	241008_M274_01_HILIC_neg_HM017.mzXML	241008_M274_01_HILIC_neg_HM018.mzXML	241008_M274_01_HILIC_neg_HM021.mzXML	241008_M274_01_HILIC_neg_HM032.mzXML	241008_M274_01_HILIC_neg_HM039.mzXML	241008_M274_01_HILIC_neg_HM042.mzXML	241008_M274_01_HILIC_neg_HM050.mzXML	241008_M274_01_HILIC_neg_HM051.mzXML	241008_M274_01_HILIC_neg_HM052.mzXML	241008_M274_01_HILIC_neg_HM057.mzXML	241008_M274_01_HILIC_neg_HM058.mzXML	241008_M274_01_HILIC_neg_HM059.mzXML	241008_M274_01_HILIC_neg_HM062.mzXML	241008_M274_01_HILIC_neg_HM065.mzXML	241008_M274_01_HILIC_neg_HM066.mzXML	241008_M274_01_HILIC_neg_HM095.mzXML	241008_M274_01_HILIC_neg_HM097.mzXML	241008_M274_01_HILIC_neg_HM099.mzXML	241008_M274_01_HILIC_neg_HM102.mzXML	241008_M274_01_HILIC_neg_HM105.mzXML
FT0011	78.9187300077429	78.918473957488	78.9193770773728	77.1932293715709	74.0936729195047	83.7857791346187	41	4.42501716335889	4.38360535966282	4.27366241717024	4.29006236861168	4.39233079192669	4.29479683554166	4.41342361817793	4.26341610067625	4.34074423956826	4.44355063620529	4.34739939975167	4.43072089952132	4.60385197608654	4.45724161388332	4.46118182627633	4.43000818438438	4.44738089852258	4.43690493111481	4.55859363106427	4.45744345466311	4.22580587669429	4.22472711415536	4.43067996408323	4.48467358404533	4.45468335221688	4.81987443180258	3.74432963669276	3.9839294493392	4.06107557152055	4.2909077000989	4.32850016170669	4.80969612995751	4.49185731654056	4.65362035602027	4.45446749401769	4.72484752480514	4.21668436641719	4.60787126432286	4.1345874539413	4.16304086741238	4.80200564928691	4.62361241992064	4.5560040308371	4.52071220148133	4.95902914437373	4.27972066618437	4.72005557584525	4.23662818161517	4.76631143021545	4.64010770415925
FT0012	78.9590501439402	78.9589870864925	78.9597916334153	437.85077628278	434.420100798124	452.72139745895	5	3.12688840393037	4.11088114912394	3.86692423836543	3.76781773378998	3.72527862766673	4.14800484876338	4.06984505872626	4.02639647728741	3.74215461873842	3.00347033036862	4.55187277107095	3.80260975993576	3.73722622916967	3.24732273401585	3.85919251154591	3.77351141390886	3.90987249242039	3.50384794452406	2.91273051625695	3.62437572517894	4.60015777964144	3.69247680688899	3.16183279809017	4.49278586815863	4.13445286145945	4.29602915877159	5.01928179541666	3.84561867115909	4.24495776157792	3.94354842687539	3.88219463653623	2.6814137169783	3.91335038395977	3.09697785788327	3.44761084622494	3.58580477780286	3.52159219000734	3.97629690202414	4.10858058623575	3.8657451400926	4.10896673527076	1.90957138740344	3.73800261577665	4.0634021160525	3.78086122507708	2.10697618848994	3.19685219690848	3.79375097646212	3.60483640181854	3.69585343794012
FT0013	80.9167205500476	80.9164371244152	80.9173585913299	77.0559158008198	74.0920304843511	84.0135026413861	41	4.43432363971933	4.38091299721824	4.2852858299609	4.28391688366928	4.38563239573225	4.29973472615404	4.40851079632598	4.24450940776872	4.3482238024333	4.44386585714284	4.35950203185227	4.44211998540745	4.60567779320617	4.45661355623402	4.47209979507608	4.42284500629214	4.4409029541094	4.44987397837174	4.56115892078895	4.45409135696658	4.23406492904614	4.22049929055491	4.45196767147112	4.48780167561936	4.53120566686651	4.83003512808405	4.13410517980108	3.84236840732388	4.14011944193349	4.3096660967362	4.32326125588624	4.82042406983607	4.49123878955989	4.7406675813278	4.45853600379555	4.71328236511676	4.22682660349689	4.60529377712559	4.10869355930648	4.18526162516417	4.80054327274053	4.73336288246578	4.54334479906683	4.52886692744786	4.98031608618648	4.52629320712809	4.75442259190309	4.32632496292071	4.77398662984423	4.65274040817324
FT0014	87.0088539613426	87.0086920469377	87.0090286713494	174.106614123203	145.893901042625	200.56138656841	4	4.97453685108503	5.16550349852613	5.22301158469904	4.91330088457535	5.34557702555783	5.38136446579142	5.3934427773401	5.22866302382	5.26608258677672	5.38142930352429	5.37469729870091	5.31098050125957	5.40146519430507	5.24443792758088	5.51305851735148	5.3325327681806	5.0755507522352	5.21377486908349	5.57696319829074	5.11090389217953	5.25628198576145	5.27543009669395	5.18941592809686	NA	5.39345242815528	5.35631996059812	3.57895243842044	4.19762339485937	5.19039265056479	5.54896572121206	5.42909371531913	5.19811307143694	3.88672993321844	5.24729696311431	4.90762417920588	5.47544588560819	5.26876803080602	4.99421700691718	2.86755706784233	3.61803475226134	5.08165020130699	5.10828812281319	3.86652959583504	4.31175769658353	3.69770903176114	5.26860308804996	5.52980820684459	4.02926010807545	5.56789688893607	5.03731163970701
FT0015	88.0402748381999	88.0401388819654	88.0406367688521	408.20968228873	407.314630474542	411.150800950663	9	3.67610827810677	3.80055383259619	3.80095460979987	3.99093388433949	3.73244679992216	3.88363830312842	3.70848211453433	3.47039117197274	3.68726868634286	3.59854307803263	3.78243276118247	3.71563766790535	3.77380512393721	3.73253970612279	4.02501830725559	3.75577590697164	3.56949035652794	3.59086878425032	3.5397156984432	3.7384262075952	3.9695552622169	3.73468928974915	3.57388536531391	3.89212827230904	3.0239531296702	2.93653477591676	4.57771329203401	3.46498368967721	3.64655122334058	3.74429217774401	3.51902403259108	2.68429846227027	2.8867901875969	2.78302700506168	3.40689007381857	2.70727482509991	2.89805356710962	3.26817407468985	4.30795593754464	3.1664192618664	2.40203633281573	2.38611661792453	3.58264363440803	3.25886200437125	3.38169166489446	NA	3.40874029708705	2.25330224596019	2.82104211049896	2.88325123964942
FT0016	88.0405217083611	88.0405217083611	88.0405217083611	441.749143404768	441.749143404768	441.749143404768	1	1.81389225746555	2.29284502115066	NA	2.13106309680497	1.28516711185362	NA	1.77996084310023	NA	1.61782192402376	2.32422519890756	2.34944807202784	NA	1.78184447269148	2.0792364188653	1.48448835718669	NA	NA	1.48036340154551	NA	1.64777148991418	1.60889859734064	1.24061819074503	1.16288229571744	2.60685544147277	2.43939362392623	1.79173728427137	4.66279791770785	2.75624154967571	2.55862854001839	2.69714845871581	2.49941796874673	NA	1.98008867131545	NA	NA	2.020119774278	1.9718529661781	2.31662931237541	3.46537867396524	2.26633704757112	1.96361417396879	NA	2.71291394549333	3.30443399778426	2.6700995711279	NA	NA	1.03206795568557	2.06487029801462	2.0082985948596
FT0017	89.0244293612858	89.0240810121604	89.0247015092646	336.486509593162	302.187471441872	364.658453870125	35	4.64471090235761	4.32984373834373	4.35262033842855	4.24242964819789	4.40123347184781	4.31357100829446	4.2787456193578	4.39719523850959	4.25990073276626	4.6702762681762	4.2757025395002	3.96734127607468	4.06484611622481	4.41817151912759	4.55399352016262	4.31199678937128	4.14885190664766	4.34948730850044	4.19418305756646	4.17103791230576	4.44387909444083	4.57228698105865	4.40739228577276	4.04897123894433	4.48617659235759	4.02246930634991	4.73448364647229	4.72702365549807	5.06602058111352	5.04478541677797	4.92256843628667	3.47669617305797	3.71910672182909	4.03157150501489	3.65845028592124	3.89181393725152	4.35140353546849	4.23599232714109	4.98352851928206	4.59604813047613	4.2219520011153	3.65931109019882	3.24856368223852	4.49332111831393	3.88136398254145	3.70107876340567	3.89926252680589	4.5219672618913	3.63002570988454	3.48266347354821
FT0018	95.9519710407749	95.9516864492679	95.9523965268003	61.2355518410067	57.5518764654352	62.5678520602336	25	3.84752390936526	3.72786637097571	3.44179135615339	3.52106934244812	3.54511266220321	3.36138366373015	3.4587920616757	3.24143115734	3.48288868894533	3.81418576184772	3.15826641295021	3.5478395225661	3.6299222746021	3.65130510754359	3.4041015076111	3.63027725074658	3.84069435971713	3.49125168604209	3.29126976580078	3.90477565599395	2.94950198294941	3.32783956201153	3.67937938096147	2.3582295702434	3.85145831976876	3.60120324077976	2.99495645337433	3.15704629231418	3.04907698408891	3.44328563665389	3.35244978762009	4.12442045774601	4.32289811615876	3.67741657029994	4.38811916439117	3.31463635907553	3.1562036504603	3.499096907701	3.63800074425202	3.26257695352156	2.9977473714224	3.73914149914816	3.813785691914	3.6421751638055	3.66316120534573	3.80823390727886	3.62497541840012	4.69722759184396	3.49045575596087	3.8189544814586
FT0019	96.9615085397746	96.9599027166283	96.9677090955411	453.047869297061	437.810267831967	456.962603658557	19	3.64435412635459	3.95705761969316	3.95779586823812	3.79667970664063	3.87448401690656	4.12308026147585	4.08421430949575	3.97066834660002	3.90280918196457	3.88287797500216	4.04123409638387	3.85627058363926	4.37632027994099	3.76863629803761	4.19788586335571	3.99007937332731	3.81013869203051	4.06881386197522	4.14000430462012	4.36427015582001	4.40482453660128	3.90784830015095	4.06460342904985	4.06396364986185	4.4948303143699	4.79878940629371	4.54862745448647	4.65313689882192	4.66600361902504	4.48121067483113	4.40029838795892	4.63391469262458	4.43251038580331	4.35954379118546	4.40422337754477	4.5844555458021	4.82474979146063	4.53907474585322	4.47286113092896	4.37556769480666	4.88617345107358	4.20617182254497	4.53058812745948	4.46351395337026	4.77611860659252	4.77006755761311	4.78235306503242	4.57726237931955	4.59378872566607	4.49780486641949
FT0020	100.933372468526	100.932930764133	100.933707214652	41.4049275660996	40.4843902417655	42.5848134990416	50	4.27152832081984	4.15572836440224	3.93450494487547	4.03344631127515	4.21170671744226	3.96650442878996	4.07412942324394	3.93631274528914	4.12156613746105	4.26319128361281	3.80881481719496	4.2002129471076	4.34605842896475	4.24880368752075	4.10865387174103	4.21221989134219	4.34677927080657	4.12650977030697	4.37995953572429	4.36222653536578	3.56000475657565	3.87096046345971	4.29720621688761	2.94616145829605	4.66863194267833	4.52424170407375	3.76464565034837	4.69807290018302	4.40474434544966	4.38349863125103	4.27554399176788	4.81386788501051	4.375409338908	4.8467143268885	4.37130029706512	4.52681331842155	4.62263475214555	4.51252711230551	4.43100616515814	4.64129984095987	4.49574072042709	5.11057760893718	4.51627298608964	4.47686175186193	4.79554563343349	4.91032013553624	4.97444701228291	4.56492028969818	4.69361886663684	4.69941080980305
